location_name,location_description,location_db,location_address,location_bit,location_data_type,location_group
is_az_sp_of,Ion Source Azimuthal Movement Setpoint Offset,11,364,,real,
rp_sp_sl,RP Setpoint Slope,11,376,,real,
rp_sp_of,RP Setpoint Offset,11,380,,real,
rp_fk_sl,RP Feedback Slope,11,384,,real,
rp_fk_of,RP Feedback Offset,11,388,,real,
rp_i1_fk_sl,RP Current 1 Feedback Slope,11,392,,real,
rp_i1_fk_of,RP Current 1 Feedback Offset,11,396,,real,
rp_i2_fk_sl,RP Current 2 Feedback Slope,11,400,,real,
rp_i2_fk_of,RP Current 2 Feedback Offset,11,404,,real,
sg1_x_ifk_sl,X Steering 1 Current Feedback Slope,11,412,,real,
sg1_x_ifk_off,X Steering 1 Current Feedback Offset,11,416,,real,
sg2_x_ifk_sl,X Steering 2 Current Feedback Slope,11,420,,real,
sg2_x_ifk_off,X Steering 2 Current Feedback Offset,11,424,,real,
sg1_x_isp_sl,X Steering 1 Current Setpoint Slope,11,428,,real,
sg1_x_isp_off,X Steering 1 Current Setpoint Offset,11,432,,real,
sg2_x_isp_sl,X Steering 2 Current Setpoint Slope,11,436,,real,
sg2_x_isp_off,X Steering 2 Current Setpoint Offset,11,440,,real,
sg1_y_ifk_sl,Y Steering 1 Current Feedback Slope,11,444,,real,
sg1_y_ifk_off,Y Steering 1 Current Feedback Offset,11,448,,real,
sg2_y_ifk_sl,Y Steering 2 Current Feedback Slope,11,452,,real,
sg2_y_ifk_off,Y Steering 2 Current Feedback Offset,11,456,,real,
sg1_y_isp_sl,Y Steering 1 Current Setpoint Slope,11,460,,real,
sg1_y_isp_off,Y Steering 1 Current Setpoint Offset,11,464,,real,
sg2_y_isp_sl,Y Steering 2 Current Setpoint Slope,11,468,,real,
sg2_y_isp_off,Y Steering 2 Current Setpoint Offset,11,472,,real,
mp_ifk_sl,Compensation Coil Current Feedback Slope,11,476,,real,
mp_ifk_of,Compensation Coil Current Feedback Offset,11,480,,real,
mp_isp_sl,Compensation Coil Current Setpoint Slope,11,484,,real,
mp_isp_of,Compensation Coil Current Setpoint Offset,11,488,,real,
rp_e_lr_c3,Radial Probe Energy For Large Radius : Polynomial Coefficient 3,11,496,,real,
rp_e_lr_c2,Radial Probe Energy For Large Radius : Polynomial Coefficient 2,11,500,,real,
rp_e_lr_c1,Radial Probe Energy For Large Radius : Polynomial Coefficient 1,11,504,,real,
rp_e_lr_c0,Radial Probe Energy For Large Radius : Polynomial Coefficient 0,11,508,,real,
arc_i2fk_sl,Ion Source Arc Current Feedback Slope For Lower Range,11,512,,real,
arc_i2fk_of,Ion Source Arc Current Feedback Offset For Lower Range,11,516,,real,
rp_e_pr,Radial Probe Energy : Polynomial Pivot Radius (mm),11,520,,real,
rp_e_sr_c3,Radial Probe Energy For Small Radius : Polynomial Coefficient 3,11,524,,real,
rp_e_sr_c2,Radial Probe Energy For Small Radius : Polynomial Coefficient 2,11,528,,real,
rp_e_sr_c1,Radial Probe Energy For Small Radius : Polynomial Coefficient 1,11,532,,real,
rp_e_sr_c0,Radial Probe Energy For Small Radius : Polynomial Coefficient 0,11,536,,real,
yoke,Yoke Temperature [C],82,0,,real,Cooling
defl_i,Deflector Current [mA],82,12,,real,Deflector
